Materialeart,Jnr,Dyrnr,Chrnr,Epi.nr,Prvdato,Resultat,region
Kloaksvaber,B13604,1,10248,2,03/15/05,POS,R8
Kloaksvaber,B13609,1,10560,1,03/16/05,NEG,R8
Kloaksvaber,B13610,1,10560,2,03/16/05,NEG,R8
Kloaksvaber,B13611,1,10667,1,03/16/05,NEG,R4
Kloaksvaber,B13612,1,10566,1,03/15/05,NEG,R3
Kloaksvaber,B13613,1,10603,2,03/15/05,NEG,R3
Kloaksvaber,B13614,1,10603,4,03/15/05,NEG,R3
Kloaksvaber,B13615,1,10604,3,03/15/05,NEG,R3
Kloaksvaber,B13616,1,10604,1,03/15/05,NEG,R3
Kloaksvaber,B13617,1,10190,1,03/16/05,NEG,R3
Kloaksvaber,B13618,1,10597,1,03/16/05,NEG,R6
Kloaksvaber,B13619,1,10597,2,03/16/05,NEG,R6
Kloaksvaber,B13620,1,10332,2,03/16/05,NEG,R3
Kloaksvaber,B13621,1,10668,2,03/17/05,NEG,NA
Kloaksvaber,B13622,1,10388,2,03/17/05,NEG,R1
Kloaksvaber,B13623,1,10005,1,03/17/05,NEG,R6
Kloaksvaber,B13624,1,10005,2,03/17/05,NEG,R6
Kloaksvaber,B13625,1,10432,1,03/17/05,NEG,R2
Kloaksvaber,B13626,1,10332,1,03/17/05,NEG,R3
Kloaksvaber,B13627,1,10332,3,03/17/05,NEG,R3
Kloaksvaber,B13628,1,10666,1,03/17/05,NEG,R7
Kloaksvaber,B13629,1,10666,2,03/17/05,NEG,R7
Kloaksvaber,B13630,1,10178,2,03/15/05,POS,NA
Kloaksvaber,B13631,1,10615,1,03/16/05,POS,NA
Kloaksvaber,B13633,1,10227,2,03/21/05,NEG,R1
Kloaksvaber,B13634,1,10411,1,03/18/05,POS,R1
Kloaksvaber,B13635,1,10367,2,03/18/05,NEG,R1
Kloaksvaber,B13636,1,10403,1,03/21/05,NEG,R1
Kloaksvaber,B13637,1,10252,5,03/21/05,NEG,R3
Kloaksvaber,B13638,1,10337,1,03/21/05,NEG,R3
Kloaksvaber,B13639,1,10500,3,03/21/05,NEG,R4
Kloaksvaber,B13640,1,10500,4,03/21/05,NEG,R4
Kloaksvaber,B13641,1,10302,5,03/21/05,NEG,R4
Kloaksvaber,B13642,1,10649,1,03/18/05,NEG,R8
Kloaksvaber,B13643,1,10545,1,03/18/05,NEG,NA
Kloaksvaber,B13644,1,10545,2,03/18/05,NEG,NA
Kloaksvaber,B13645,1,10140,1,03/21/05,NEG,R4
Kloaksvaber,B13646,1,10140,2,03/21/05,NEG,R4
Kloaksvaber,B13647,1,10140,3,03/21/05,NEG,R4
Kloaksvaber,B13648,1,10618,2,03/16/05,POS,NA
Kloaksvaber,B13649,1,10086,1,03/14/05,NEG,NA
Kloaksvaber,B13650,1,10086,2,03/14/05,NEG,NA
Kloaksvaber,B13651,1,10668,1,03/15/05,NEG,NA
Kloaksvaber,B13652,1,10668,2,03/16/05,NEG,NA
Kloaksvaber,B13653,1,10367,1,03/17/05,NEG,R1
Kloaksvaber,B13632,1,10388,1,03/18/05,NEG,R1
Kloaksvaber,B13654,1,10227,1,03/23/05,NEG,R1
Kloaksvaber,B13655,1,10241,1,03/29/05,NEG,NA
Kloaksvaber,B13656,1,10241,2,03/29/05,NEG,NA
Kloaksvaber,B13657,1,10142,1,03/22/05,NEG,R5
Kloaksvaber,B13658,1,10209,1,03/21/05,NEG,R1
Kloaksvaber,B13659,1,10209,2,03/21/05,NEG,R1
Kloaksvaber,B13660,1,10209,4,03/23/05,NEG,R1
Kloaksvaber,B13661,1,10209,5,03/21/05,NEG,R1
Kloaksvaber,B13662,1,10209,6,03/22/05,NEG,R1
Kloaksvaber,B13663,1,10178,2,03/18/05,POS,NA
Kloaksvaber,B13665,1,10178,3,03/22/05,POS,NA
Kloaksvaber,B13666,1,10178,3,03/23/05,POS,NA
