Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10100,1,06/07/05,06/17/05,C710,1,NEGATIV,R1
Kloaksvaber,10100,2,06/07/05,06/17/05,C721,1,POSITIV,R1
Kloaksvaber,10554,1,06/08/05,06/17/05,C699,1,NEGATIV,R1
Kloaksvaber,10554,2,06/08/05,06/17/05,C700,1,NEGATIV,R1
Kloaksvaber,10389,2,06/08/05,06/17/05,C705,1,NEGATIV,R1
Kloaksvaber,10389,1,06/09/05,06/17/05,C704,1,NEGATIV,R1
Kloaksvaber,10076,20,06/09/05,06/17/05,C698,1,POSITIV,R5
Kloaksvaber,10176,1,06/10/05,06/14/05,C396,1,NEGATIV,R3
Kloaksvaber,10584,2,06/10/05,06/14/05,C392,1,NEGATIV,R7
Kloaksvaber,10537,1,06/10/05,06/14/05,C351,1,NEGATIV,R4
Kloaksvaber,10529,3,06/10/05,06/14/05,C400,1,NEGATIV,R7
Kloaksvaber,10176,2,06/10/05,06/14/05,C397,1,NEGATIV,R3
Kloaksvaber,10358,1,06/10/05,06/14/05,C337,1,NEGATIV,NA
Kloaksvaber,10584,2,06/10/05,06/14/05,C350,1,NEGATIV,R7
Kloaksvaber,10584,1,06/10/05,06/14/05,C349,1,NEGATIV,R7
Kloaksvaber,10537,2,06/10/05,06/14/05,C352,1,NEGATIV,R4
Kloaksvaber,10136,4,06/10/05,06/14/05,C360,1,NEGATIV,R4
Kloaksvaber,10136,3,06/10/05,06/14/05,C353,1,NEGATIV,R4
Kloaksvaber,10619,4,06/13/05,06/17/05,C737,1,POSITIV,R5
Kloaksvaber,10181,1,06/13/05,06/14/05,C370,1,NEGATIV,R3
Kloaksvaber,10604,2,06/13/05,06/14/05,C381,1,NEGATIV,R3
Kloaksvaber,10619,3,06/13/05,06/17/05,C736,1,POSITIV,R5
Kloaksvaber,10491,2,06/13/05,06/14/05,C348,1,POSITIV,NA
Kloaksvaber,10136,3,06/13/05,06/14/05,C354,1,POSITIV,R4
Kloaksvaber,10646,1,06/13/05,06/14/05,C363,1,POSITIV,R8
Kloaksvaber,10136,3,06/13/05,06/14/05,C398,1,NEGATIV,R4
Kloaksvaber,10604,1,06/13/05,06/14/05,C371,1,NEGATIV,R3
Kloaksvaber,10529,3,06/13/05,06/14/05,C411,1,NEGATIV,R7
Kloaksvaber,10312,1,06/13/05,06/14/05,C361,1,NEGATIV,R8
Kloaksvaber,10312,2,06/13/05,06/14/05,C362,1,NEGATIV,R8
Kloaksvaber,10604,1,06/14/05,06/17/05,C653,1,NEGATIV,R3
Kloaksvaber,10646,1,06/14/05,06/15/05,C424,1,POSITIV,R8
Kloaksvaber,10008,1,06/14/05,06/17/05,C685,1,NEGATIV,R2
Kloaksvaber,10089,9,06/14/05,06/15/05,C422,1,POSITIV,NA
Kloaksvaber,10604,3,06/14/05,06/17/05,C654,1,NEGATIV,R3
Kloaksvaber,10619,1,06/14/05,06/17/05,C732,1,POSITIV,R5
Kloaksvaber,10619,2,06/14/05,06/17/05,C735,1,POSITIV,R5
Kloaksvaber,10089,9,06/14/05,06/17/05,C690,1,POSITIV,NA
Kloaksvaber,10341,1,06/14/05,06/17/05,C660,1,POSITIV,R3
Kloaksvaber,10089,8,06/14/05,06/15/05,C421,1,POSITIV,NA
Kloaksvaber,10491,2,06/14/05,06/17/05,C753,1,POSITIV,NA
Kloaksvaber,10134,1,06/14/05,06/15/05,C423,1,NEGATIV,R3
Kloaksvaber,10089,7,06/14/05,06/15/05,C420,1,POSITIV,NA
Kloaksvaber,10089,9,06/14/05,06/17/05,C628,1,POSITIV,NA
Kloaksvaber,10089,6,06/14/05,06/15/05,C419,1,POSITIV,NA
Kloaksvaber,10089,13,06/15/05,06/17/05,C630,1,POSITIV,NA
Kloaksvaber,10362,2,06/15/05,06/17/05,C652,1,NEGATIV,R2
Kloaksvaber,10383,2,06/15/05,06/17/05,C691,1,NEGATIV,R1
Kloaksvaber,10089,12,06/15/05,06/16/05,C556,1,POSITIV,NA
Kloaksvaber,10089,10,06/15/05,06/16/05,C549,1,POSITIV,NA
Kloaksvaber,10135,1,06/15/05,06/17/05,C682,1,NEGATIV,R6
Kloaksvaber,10089,11,06/15/05,06/16/05,C555,1,POSITIV,NA
Kloaksvaber,10491,2,06/15/05,06/17/05,C764,1,POSITIV,NA
Kloaksvaber,10089,13,06/15/05,06/16/05,C557,1,POSITIV,NA
Kloaksvaber,10576,1,06/15/05,06/17/05,C671,1,NEGATIV,R6
Kloaksvaber,10089,1,06/15/05,06/17/05,C621,1,POSITIV,NA
Kloaksvaber,10621,1,06/15/05,06/17/05,C693,1,NEGATIV,R1
Kloaksvaber,10089,15,06/16/05,06/17/05,C686,1,POSITIV,NA
Kloaksvaber,10550,1,06/16/05,06/28/05,C1256,1,NEGATIV,NA
Kloaksvaber,10358,1,06/16/05,06/17/05,C742,1,NEGATIV,NA
Kloaksvaber,10089,4,06/16/05,06/17/05,C623,1,POSITIV,NA
Kloaksvaber,10335,1,06/16/05,06/17/05,C688,1,POSITIV,R4
Kloaksvaber,10089,16,06/16/05,06/17/05,C687,1,POSITIV,NA
Kloaksvaber,10383,3,06/16/05,06/28/05,C1265,1,NEGATIV,R1
Kloaksvaber,10335,2,06/16/05,06/17/05,C689,1,POSITIV,R4
Kloaksvaber,10089,9,06/16/05,06/16/05,C538,1,POSITIV,NA
Kloaksvaber,10362,1,06/16/05,06/17/05,C651,1,POSITIV,R2
Kloaksvaber,10089,14,06/16/05,06/17/05,C641,1,POSITIV,NA
Kloaksvaber,10089,1,06/16/05,06/17/05,C622,1,POSITIV,NA
Kloaksvaber,10560,2,06/17/05,06/21/05,C906,1,NEGATIV,R8
Kloaksvaber,10191,1,06/17/05,06/21/05,C897,1,NEGATIV,NA
Kloaksvaber,10089,3,06/17/05,06/21/05,C848,1,POSITIV,NA
Kloaksvaber,10089,3,06/17/05,06/21/05,C887,1,POSITIV,NA
Kloaksvaber,10368,1,06/17/05,06/17/05,C697,1,POSITIV,R1
Kloaksvaber,10659,3,06/17/05,06/21/05,C851,1,NEGATIV,R3
Kloaksvaber,10307,1,06/17/05,06/21/05,C895,1,NEGATIV,R3
Kloaksvaber,10358,1,06/17/05,06/17/05,C738,1,NEGATIV,NA
Kloaksvaber,10560,1,06/17/05,06/21/05,C865,1,NEGATIV,R8
Kloaksvaber,10585,1,06/17/05,06/21/05,C886,1,NEGATIV,R6
Kloaksvaber,10307,2,06/17/05,06/21/05,C896,1,NEGATIV,R3
Kloaksvaber,10659,4,06/17/05,06/21/05,C854,1,NEGATIV,R3
Kloaksvaber,10086,2,06/20/05,06/21/05,C894,1,NEGATIV,NA
Kloaksvaber,10367,1,06/20/05,06/21/05,C888,1,NEGATIV,R1
Kloaksvaber,10566,1,06/20/05,06/21/05,C836,1,NEGATIV,R3
Kloaksvaber,10560,1,06/20/05,06/21/05,C876,1,POSITIV,R8
Kloaksvaber,10566,1,06/20/05,06/21/05,C885,1,NEGATIV,R3
Kloaksvaber,10520,1,06/20/05,06/21/05,C847,1,NEGATIV,R4
Kloaksvaber,10367,2,06/20/05,06/28/05,C1285,1,NEGATIV,R1
Kloaksvaber,10367,1,06/20/05,06/28/05,C1284,1,NEGATIV,R1
Kloaksvaber,10086,1,06/20/05,06/21/05,C889,1,NEGATIV,NA
Kloaksvaber,10358,1,06/20/05,06/21/05,C901,1,NEGATIV,NA
Kloaksvaber,10560,2,06/20/05,06/21/05,C884,1,NEGATIV,R8
Kloaksvaber,10529,4,06/21/05,06/24/05,C1174,1,NEGATIV,R7
Kloaksvaber,10668,2,06/21/05,06/24/05,C1176,1,NEGATIV,NA
Kloaksvaber,10358,1,06/21/05,06/24/05,C1169,1,NEGATIV,NA
Kloaksvaber,10175,2,06/21/05,06/24/05,C1208,1,POSITIV,R2
Kloaksvaber,10668,1,06/21/05,06/28/05,C1291,1,POSITIV,NA
Kloaksvaber,10175,1,06/21/05,06/24/05,C1204,1,NEGATIV,R2
Kloaksvaber,10175,4,06/21/05,06/24/05,C1210,1,NEGATIV,R2
Kloaksvaber,10520,4,06/21/05,06/22/05,C1043,1,NEGATIV,R4
Kloaksvaber,10520,2,06/21/05,06/22/05,C1041,1,NEGATIV,R4
Kloaksvaber,10668,2,06/21/05,06/28/05,C1295,1,NEGATIV,NA
Kloaksvaber,10520,3,06/21/05,06/22/05,C1042,1,NEGATIV,R4
Kloaksvaber,10429,1,06/22/05,06/24/05,C1175,1,NEGATIV,R3
Kloaksvaber,10083,1,06/22/05,06/24/05,C1183,1,POSITIV,R2
Kloaksvaber,10332,2,06/22/05,06/23/05,C1122,1,NEGATIV,R3
Kloaksvaber,10169,2,06/22/05,06/23/05,C1123,1,NEGATIV,R4
Kloaksvaber,10169,7,06/22/05,06/23/05,C1128,1,POSITIV,R4
Kloaksvaber,10083,2,06/22/05,06/24/05,C1186,1,POSITIV,R2
Kloaksvaber,10388,2,06/22/05,06/28/05,C1283,1,NEGATIV,R1
Kloaksvaber,10520,4,06/22/05,06/23/05,C1121,1,NEGATIV,R4
Kloaksvaber,10175,3,06/22/05,06/24/05,C1209,1,POSITIV,R2
Kloaksvaber,10388,1,06/22/05,06/28/05,C1282,1,NEGATIV,R1
Kloaksvaber,10358,1,06/22/05,06/24/05,C1173,1,NEGATIV,NA
Kloaksvaber,10666,2,06/23/05,06/24/05,C1177,1,NEGATIV,R7
Kloaksvaber,10332,3,06/23/05,06/24/05,C1193,1,NEGATIV,R3
Kloaksvaber,10649,1,06/23/05,06/25/05,C1232,1,NEGATIV,R8
Kloaksvaber,10666,2,06/23/05,06/25/05,C1230,1,NEGATIV,R7
Kloaksvaber,10332,1,06/23/05,06/24/05,C1191,1,NEGATIV,R3
Kloaksvaber,10337,1,06/23/05,06/24/05,C1181,1,NEGATIV,R3
Kloaksvaber,10164,2,06/23/05,06/28/05,C1290,1,POSITIV,R5
Kloaksvaber,10164,1,06/23/05,06/28/05,C1289,1,POSITIV,R5
Kloaksvaber,10667,1,06/23/05,06/25/05,C1234,1,NEGATIV,R4
Kloaksvaber,10332,3,06/23/05,06/25/05,C1231,1,NEGATIV,R3
Kloaksvaber,10178,1,06/24/05,06/29/05,C1380,1,NEGATIV,NA
Kloaksvaber,10432,1,06/24/05,06/28/05,C1332,1,NEGATIV,R2
Kloaksvaber,10248,2,06/24/05,06/28/05,C1322,1,NEGATIV,R8
Kloaksvaber,10248,6,06/24/05,06/28/05,C1331,1,POSITIV,R8
Kloaksvaber,10248,4,06/24/05,06/28/05,C1329,1,POSITIV,R8
Kloaksvaber,10248,3,06/24/05,06/28/05,C1328,1,NEGATIV,R8
Kloaksvaber,10545,1,06/24/05,06/28/05,C1296,1,NEGATIV,NA
Kloaksvaber,10545,2,06/24/05,06/28/05,C1349,1,NEGATIV,NA
Kloaksvaber,10545,1,06/24/05,06/28/05,C1348,1,NEGATIV,NA
Kloaksvaber,10529,4,06/24/05,06/28/05,C1350,1,NEGATIV,R7
Kloaksvaber,10248,5,06/24/05,06/28/05,C1330,1,POSITIV,R8
Kloaksvaber,10005,1,06/27/05,06/28/05,C1337,1,NEGATIV,R6
Kloaksvaber,10561,1,06/27/05,06/28/05,C1303,1,NEGATIV,R8
Kloaksvaber,10252,4,06/27/05,06/28/05,C1316,1,NEGATIV,R3
Kloaksvaber,10227,2,06/27/05,06/28/05,C1347,1,NEGATIV,R1
Kloaksvaber,10252,5,06/27/05,06/28/05,C1317,1,NEGATIV,R3
Kloaksvaber,10529,4,06/27/05,06/28/05,C1354,1,NEGATIV,R7
