JNR	DYRNR	MATR	BAKTFUND	DYREART	PRV_DATO	CHR_NR	AKTVNR	SEKTION	EPINR	SYSBEM	ANALYSE	region
A2664398	9	25		81	07JAN1998:00:00:00	1	5531	1fj	2			NA
A2664398	10	25		81	07JAN1998:00:00:00	1	5531	1fj	2			NA
A2664398	11	25		81	07JAN1998:00:00:00	1	5531	1fj	3			NA
A2664398	12	25		81	07JAN1998:00:00:00	1	5531	1fj	3			NA
A2664398	13	25		81	07JAN1998:00:00:00	1	5531	1fj	3			NA
A2664398	14	25		81	07JAN1998:00:00:00	1	5531	1fj	3			NA
A2664398	15	25		81	07JAN1998:00:00:00	1	5531	1fj	3			NA
A2664398	16	25		81	07JAN1998:00:00:00	1	5531	1fj	4			NA
A2664398	17	25		81	07JAN1998:00:00:00	1	5531	1fj	4			NA
A2664398	18	25		81	07JAN1998:00:00:00	1	5531	1fj	4			NA
A2664398	19	25		81	07JAN1998:00:00:00	1	5531	1fj	4			NA
A2664398	20	25		81	07JAN1998:00:00:00	1	5531	1fj	4			NA
A2664399	1	772		81	05JAN1998:00:00:00	10309	5133	1fj	3			R7
A2664400	1	772		81	02JAN1998:00:00:00	10243	5133	1fj	4			R3
A2664401	1	772		81	02JAN1998:00:00:00	10243	5133	1fj	5			R3
A2664402	1	772		81	05JAN1998:00:00:00	1	5133	1fj	1			NA
A2664403	1	772		81	02JAN1998:00:00:00	10651	5133	1fj	1			R5
A2664404	1	772		81	02JAN1998:00:00:00	10174	5133	1fj	4			R5
A2664406	1	772		81	05JAN1998:00:00:00	10491	5133	1fj	2			NA
A2664407	1	772	camp	81	05JAN1998:00:00:00	10233	5133	1fj	0			R6
A2664408	1	772		81	05JAN1998:00:00:00	10107	5133	1fj	2			R3
A2664409	1	772		81	05JAN1998:00:00:00	10107	5133	1fj	3			R3
A2664410	1	772		81	05JAN1998:00:00:00	10203	5133	1fj	1			R3
A2664411	1	772		81	05JAN1998:00:00:00	10203	5133	1fj	2			R3
A2664412	1	772		81	05JAN1998:00:00:00	10203	5133	1fj	3			R3
A2664419	1	772		81	02JAN1998:00:00:00	10251	5133	1fj	6			R2
A2664484	1	772		81	07JAN1998:00:00:00	10551	5133	1fj	2			R4
A2625408	7	664	clar	10	22OCT1998:00:00:00	3	3413	res	NA			NA
A2634582	2	210	clar	78	23MAR1998:00:00:00	1	5126	1pv	NA			NA
A2634846	1	210	clar	79	12MAY1998:00:00:00	1	5126	1pv	NA			NA
A2634846	2	210	clar	79	12MAY1998:00:00:00	1	5126	1pv	NA			NA
A2635477	1	210	clar	9	28JUL1998:00:00:00	1	5121	1pv	NA			NA
A2635881	1	210	clar	78	18SEP1998:00:00:00	1	5126	1pv	NA			NA
A2636052	2	21	clar	93	12OCT1998:00:00:00	1	5122	1pv	NA			NA
A2636148	1	210	clar	93	27OCT1998:00:00:00	1	5121	1pv	NA			NA
A2667297	1	772	clar	81	03MAR1998:00:00:00	10031	5133	1fj	5			R3
A2668863	1	772	clar	84	02APR1998:00:00:00	10292	5133	1fj	NA			R2
A2672434	1	772	clar	81	11JUN1998:00:00:00	10619	5133	1fj	2			R5
A2672438	1	772	clar	84	08JUN1998:00:00:00	10020	5133	1fj	NA			R6
A2672442	1	772	clar	81	11JUN1998:00:00:00	10619	5133	1fj	1			R5
A2672443	1	772	clar	81	09JUN1998:00:00:00	10619	5133	1fj	3			R5
A2673665	1	772	clar	81	01JUL1998:00:00:00	10590	5133	1fj	1			R6
A2673668	1	772	clar	81	01JUL1998:00:00:00	10199	5133	1fj	6			R5
A2673669	1	772	clar	81	02JUL1998:00:00:00	10199	5133	1fj	7			R5
A2673836	1	772	clar	81	05JUL1998:00:00:00	10155	5133	1fj	2			R5
A2625406	5	664	clar	10	22OCT1998:00:00:00	3	3413	res	NA			NA
A2677517	1	772	clar	84	07SEP1998:00:00:00	10020	5133	1fj	NA			R6
A2677675	2	25	clar	81	10SEP1998:00:00:00	1	5531	1fj	2			NA
A2677675	3	25	clar	81	10SEP1998:00:00:00	1	5531	1fj	2			NA
A2677675	5	25	clar	81	10SEP1998:00:00:00	1	5531	1fj	2			NA
A2679911	1	772	clar	81	15OCT1998:00:00:00	10596	5133	1fj	1			R5
A2681609	1	772	clar	84	12NOV1998:00:00:00	10530	5133	1fj	NA			R6
A2664175	5	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	6	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	7	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	8	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	9	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	10	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	1	90		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	2	90		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	3	90		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	4	90		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	8	90		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664187	9	90		81	05JAN1998:00:00:00	1	5335	1fj	1			NA
A2664187	10	90		81	05JAN1998:00:00:00	1	5335	1fj	2			NA
A2664187	12	90		81	05JAN1998:00:00:00	1	5335	1fj	2			NA
A2664392	1	772		81	02JAN1998:00:00:00	10419	5133	1fj	1			R1
A2664393	1	772		81	02JAN1998:00:00:00	10419	5133	1fj	2			R1
A2664394	1	772		81	02JAN1998:00:00:00	10174	5133	1fj	4			R5
A2664395	1	772		81	02JAN1998:00:00:00	10133	5133	1fj	2			R5
A2664396	1	772		81	02JAN1998:00:00:00	10347	5133	1fj	1			R2
A2664397	1	772		81	02JAN1998:00:00:00	10347	5133	1fj	2			R2
A2664398	1	25		81	07JAN1998:00:00:00	1	5531	1fj	1			NA
A2664398	2	25		81	07JAN1998:00:00:00	1	5531	1fj	1			NA
A2664398	3	25		81	07JAN1998:00:00:00	1	5531	1fj	1			NA
A2664398	4	25		81	07JAN1998:00:00:00	1	5531	1fj	1			NA
A2664398	5	25		81	07JAN1998:00:00:00	1	5531	1fj	1			NA
A2664398	6	25		81	07JAN1998:00:00:00	1	5531	1fj	2			NA
A2664398	7	25		81	07JAN1998:00:00:00	1	5531	1fj	2			NA
A2664398	8	25		81	07JAN1998:00:00:00	1	5531	1fj	2			NA
A2636444	1	210	camp	93	10DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636444	2	210	camp	93	10DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636447	1	21		1	11DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636454	1	210		55	11DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636458	1	21		1	14DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636463	2	210	camp	93	15DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636463	3	210		93	15DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636463	4	210	camp	93	15DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636464	1	210		92	15DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636465	1	210		94	15DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636471	1	210		98	16DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636478	1	210	camp	2	17DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636481	1	210		92	17DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636483	1	21		1	18DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636484	1	21		1	18DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636486	1	210	camp	93	18DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636487	1	210	camp	93	18DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636487	2	210	camp	93	18DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636492	1	21		2	21DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636492	2	21		2	21DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636498	1	210		93	22DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636499	1	210		1	22DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636508	1	21		1	29DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636509	1	210		1	29DEC1998:00:00:00	1	5121	1pv	NA			NA
A2664175	1	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	2	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	3	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2664175	4	25		81	05JAN1998:00:00:00	1	5335	1fj	NA			NA
A2636392	6	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	7	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	9	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	11	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	14	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	15	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636394	1	210		51	02DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636395	1	210		79	02DEC1998:00:00:00	1	5126	1pv	NA			NA
A2636401	1	210		50	03DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636403	1	210		79	03DEC1998:00:00:00	1	5126	1pv	NA			NA
A2636405	1	210		79	03DEC1998:00:00:00	1	5126	1pv	NA			NA
A2636411	1	210		92	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636412	1	210	camp	93	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636413	1	210		50	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636413	2	210		50	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636413	3	210		50	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636415	1	210		9	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636416	1	210		50	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636416	2	210		50	04DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636423	1	210		1	07DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636424	1	210	camp	1	07DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636426	1	21	camp	1	08DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636427	1	21		92	08DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636430	1	210		92	08DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636437	1	210		92	09DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636438	1	210		1	09DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636440	1	21		2	10DEC1998:00:00:00	1	5121	1pv	NA			NA
A2636443	1	210		79	10DEC1998:00:00:00	1	5126	1pv	NA			NA
A2636367	1	21		50	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636367	2	21		50	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636368	1	210	camp	92	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636370	1	210		2	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636371	1	210		2	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636372	1	210		78	27NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636373	1	210		79	27NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636374	1	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	2	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	3	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	4	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	5	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	6	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636374	7	210		93	27NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636375	1	210		79	27NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636375	2	210		79	27NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636375	3	210		79	27NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636376	1	21		50	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636380	1	21		2	30NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636381	1	210		79	30NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636382	1	21		1	01DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636383	1	21		1	01DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636385	1	21		1	01DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636388	1	210		71	01DEC1998:00:00:00	1	5126	1pv	NA			NA
A2636390	1	21		1	01DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	2	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	3	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	4	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636392	5	21		92	02DEC1998:00:00:00	1	5122	1pv	NA			NA
A2636323	24	210		79	24NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636325	1	21		1	23NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636328	1	21		2	23NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636329	2	21		1	23NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636330	1	210		1	23NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636331	1	210		78	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636332	1	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636337	1	210		79	24NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636338	1	210		94	24NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636341	1	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	2	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	3	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	4	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	5	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	6	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	7	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	8	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636341	9	210		79	25NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636343	1	21		1	25NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636347	1	210	camp	1	25NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636355	1	21		2	26NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636357	1	210		79	26NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636358	1	210		50	26NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636358	2	210		50	26NOV1998:00:00:00	1	5121	1pv	NA			NA
A2636360	1	210		79	26NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636362	1	21		1	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636366	1	21		2	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636366	2	21		2	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636366	3	21		2	27NOV1998:00:00:00	1	5122	1pv	NA			NA
A2636322	48	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	49	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	50	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	51	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	52	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	53	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	54	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	55	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	56	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
A2636322	57	210		79	23NOV1998:00:00:00	1	5126	1pv	NA			NA
